"","ID","N_C","N_E","sample","cit","year","design","sound","sound_type","db","task","measure","mean_C","var_C","mean_E","var_E","var_type","journal","IF","d","d_var","g","g_var","CI95_L","CI95_R","reference"
"1",66,23,25,"adults","Adam (2019)",2019,"between","music","instrumental",55,"reading comprehension","num_correct",6.28,1.285,6.14,1.31,"SD","Dissertation",NA,-0.107849639590076,0.0835994227941455,-0.10608161271155,0.0808809250359914,-0.663497222125445,0.451333996702346,"Adam, E. (2019). The Influence of Background Music on Learning From Text (Doctoral dissertation, University of Geneva)."
"2",67,20,20,"adults","Christensen and Hansson (2018)",2018,"within","music","slow tempo",NA,"reading comprehension","reading_rate",178.12,35.41,178.49,36.84,"SD","Dissertation",NA,-0.0102286198142086,0.0256749980894017,-0.00703634488818127,0.0236620782391926,-0.311316141277973,0.291677191234692,"Christensen, T., & Hansson, T. (2018). A study of how tempo in music affects reading comprehension when consuming written news on a smartphone."
"3",67,20,20,"adults","Christensen and Hansson (2018)",2018,"within","music","fast tempo",NA,"reading comprehension","reading_rate",178.12,35.41,175.76,29.85,"SD","Dissertation",NA,0.0706070100397971,0.0257376511170126,0.0485710959237297,0.0237198192694388,-0.234081573825248,0.369647033101659,"Christensen, T., & Hansson, T. (2018). A study of how tempo in music affects reading comprehension when consuming written news on a smartphone."
"4",67,20,20,"adults","Christensen and Hansson (2018)",2018,"within","music","slow tempo",NA,"reading comprehension","prop_correct",0.42,0.25,0.5,0.16,"SD","Dissertation",NA,0.338743122811477,0.0271466412461825,0.233023954736312,0.0250183445724818,0.0151765072145817,0.635210288583455,"Christensen, T., & Hansson, T. (2018). A study of how tempo in music affects reading comprehension when consuming written news on a smartphone."
"5",67,20,20,"adults","Christensen and Hansson (2018)",2018,"within","music","fast tempo",NA,"reading comprehension","prop_correct",0.42,0.25,0.47,0.17,"SD","Dissertation",NA,0.213270256117604,0.0262575278984725,0.146710221290038,0.0241989377112323,-0.100158306023485,0.509637197769286,"Christensen, T., & Hansson, T. (2018). A study of how tempo in music affects reading comprehension when consuming written news on a smartphone."
"6",68,37,37,"adults","Herring and Scott (2018)",2018,"within","music","instrumental",NA,"reading comprehension","num_correct",8,1.3,7.4,1.2,"SE","Journal of Emerging Investigators",NA,-0.0784863224708975,0.0139203952529666,-0.0550610928806579,0.0133424493597802,-0.303238416730623,0.149558904200195,"Da’Naesha Herring, J. S. (2018). The Effect of Lyrical and Instrumental Music on Reading Comprehension tasks. Journal of Emerging Investigators"
"7",68,37,37,"adults","Herring and Scott (2018)",2018,"within","music","Spanish",NA,"reading comprehension","num_correct",8,1.3,7.4,1.2,"SE","Journal of Emerging Investigators",NA,-0.0784863224708975,0.0139203952529666,-0.0550610928806579,0.0133424493597802,-0.303238416730623,0.149558904200195,"Da’Naesha Herring, J. S. (2018). The Effect of Lyrical and Instrumental Music on Reading Comprehension tasks. Journal of Emerging Investigators"
"8",68,37,37,"adults","Herring and Scott (2018)",2018,"within","music","English",NA,"reading comprehension","num_correct",8,1.3,7.1,1.2,"SE","Journal of Emerging Investigators",NA,-0.117729483706346,0.0139738251025231,-0.0825916393209869,0.0133936609129764,-0.342092365200257,0.111573096404613,"Da’Naesha Herring, J. S. (2018). The Effect of Lyrical and Instrumental Music on Reading Comprehension tasks. Journal of Emerging Investigators"
"9",69,129,129,"children","Dong et al. (2022)",2022,"within","music","Pop",NA,"reading comprehension","reading_speed",39.915,3.89,42.265,4.3,"SD","Psychology of Music",1.9,-0.569049328138359,0.00462487438564495,-0.405369972694566,0.00457072998133846,-0.698218590847939,-0.433198468620892,"Dong, Y., Zheng, H. Y., Wu, S. X. Y., Huang, F. Y., Peng, S. N., Sun, S. Y. K., & Zeng, H. (2022). The effect of Chinese pop background music on Chinese poetry reading comprehension. Psychology of Music, 03057356211062940."
"10",70,13,13,"adults","Du et al. (2020)",2020,"between","music","low arousal",NA,"reading comprehension","perc_correct",96.31,2.79,93.345,8.685,"SD","Scientific Reports",4.99,-0.459666927279284,0.157909493923738,-0.445151129575727,0.148093734800057,-1.19941692596842,0.309114666816964,"Du, M., Jiang, J., Li, Z., Man, D., & Jiang, C. (2020). The effects of background music on neural responses during reading comprehension. Scientific Reports, 10(1), 1-10."
