,ID,N_C,N_E,sample,cit,year,design,sound,sound_type,db,task,measure,mean_C,var_C,mean_E,var_E,var_type,journal,IF,d,d_var,g,g_var,CI95_L,CI95_R,reference
1,1,40,40,adults,Sörqvist et al. (2010),2010,within,speech,native,72.5,reading comprehension/ select word,num_correct,11.55,2.24,10.58,2.93,SD,Applied Cognitive Psychology,1.481,-0.354420466,0.013643069,-0.249051711,0.013120061,-0.572064674,-0.123056756,"Sörqvist, P., Halin, N., & Hygge, S. (2010). Individual differences in susceptibility to the effects of speech on reading comprehension. Applied Cognitive Psychology, 24(1), 67-76. doi:10.1002/acp.1543"
2,1,40,40,adults,Sörqvist et al. (2010),2010,within,speech,native,72.5,reading comprehension/ select word,reading_speed,14.22,3,14.41,2.56,SD,Applied Cognitive Psychology,1.481,-0.066936937,0.012865586,-0.047036671,0.012372382,-0.283654559,0.152371792,"Sörqvist, P., Halin, N., & Hygge, S. (2010). Individual differences in susceptibility to the effects of speech on reading comprehension. Applied Cognitive Psychology, 24(1), 67-76. doi:10.1002/acp.1543"
3,2,70,50,children,Ljung et al. (2009),2009,between,noise,traffic,62,select word,prop_correct,0.69,0.19,0.66,0.18,SD,Noise and Health,1.826,-0.161365997,0.03439421,-0.160338188,0.033957463,-0.521518182,0.200841807,"Ljung, R., Sörqvist, P., & Hygge, S. (2009). Effects of road traffic noise and irrelevant speech on children's reading and mathematical performance. Noise and Health, 11(45), 194-198."
4,2,70,50,children,Ljung et al. (2009),2009,between,noise,traffic,62,select word,reading_speed,38.19,4.48,33.74,8.09,SD,Noise and Health,1.826,0.713360153,0.036406059,0.708816458,0.035943764,0.337223179,1.080409738,"Ljung, R., Sörqvist, P., & Hygge, S. (2009). Effects of road traffic noise and irrelevant speech on children's reading and mathematical performance. Noise and Health, 11(45), 194-198."
5,2,70,66,children,Ljung et al. (2009),2009,between,speech,babble,62,select word,prop_correct,0.69,0.19,0.72,0.15,SD,Noise and Health,1.826,0.174657916,0.029549382,0.173678526,0.029218916,-0.161354885,0.508711938,"Ljung, R., Sörqvist, P., & Hygge, S. (2009). Effects of road traffic noise and irrelevant speech on children's reading and mathematical performance. Noise and Health, 11(45), 194-198."
6,2,70,66,children,Ljung et al. (2009),2009,between,speech,babble,62,select word,reading_speed,38.19,4.48,37.18,4.96,SD,Noise and Health,1.826,0.214031235,0.029605646,0.21283106,0.029274551,-0.122521167,0.548183287,"Ljung, R., Sörqvist, P., & Hygge, S. (2009). Effects of road traffic noise and irrelevant speech on children's reading and mathematical performance. Noise and Health, 11(45), 194-198."
7,3,14,14,children,Fogelson (1973),1973,between,music,popular,NA,reading comprehension,num_correct,43.9,18.8,35.9,18.3,SD,Perceptual and Motor Skills,0.618,-0.431227686,0.146177809,-0.418667656,0.137786605,-1.146212171,0.308876859,"Fogelson, S. (1973). Music as a distractor on reading-test performance of eighth grade students. Perceptual and Motor Skills, 36(3c), 1265-1266. doi:10.2466/pms.1973.36.3c.1265"
8,4,75,76,adults,Tucker & Bushman (1991),1991,between,music,rock and roll,80,reading comprehension,num_correct,4.69,2.18,4.68,2.43,SD,Perceptual and Motor Skills,0.618,-0.004330458,0.02649129,-0.004308624,0.026224825,-0.321712603,0.313095355,"Tucker, A., & Bushman, B. J. (1991). Effects of rock and roll music on mathematical, verbal, and reading comprehension performance. Perceptual and Motor Skills, 72(3), 942-942. doi:10.2466/pms.1991.72.3.942"
9,5,24,24,adults,Daoussis & McKelvie (1986),1986,between,music,rock,50,reading comprehension,num_correct,9.14,3.55,7.6,2.16,SD,Perceptual and Motor Skills,0.618,-0.524099133,0.086194582,-0.515507344,0.083391695,-1.0815087,0.050494012,"Daoussis, L., & McKelvie, S. J. (1986). Musical preferences and effects of music on a reading comprehension test for extraverts and introverts. Perceptual and Motor Skills, 62(1), 283-289. doi:10.2466/pms.1986.62.1.283"
10,6,32,32,adults,Etaugh & Michals (1975),1975,within,music,preferred,NA,reading comprehension,num_correct,7.6,NA,6.75,NA,NA,Perceptual and Motor Skills,0.618,-0.1093884,0.016142036,-0.07647267,0.015364223,-0.349667293,0.136226513,"Etaugh, C., & Michals, D. (1975). Effects on reading comprehension of preferred music and frequency of studying to music. Perceptual and Motor Skills, 41(2), 553-554. doi:10.2466/pms.1975.41.2.553"
11,7,20,20,adults,Etaugh & Ptasnik (1982),1982,between,music,preferred,NA,reading comprehension,num_correct,6.2,NA,4.8,NA,NA,Perceptual and Motor Skills,0.618,-0.756306816,0.10715,-0.741280853,0.102934678,-1.370116173,-0.112445532,"Etaugh, C., & Ptasnik, P. (1982). Effects of studying to music and post-study relaxation on reading comprehension. Perceptual and Motor Skills, 55(1), 141-142. doi: 10.2466/pms.1982.55.1.141"
13,8,18,18,children,Kiger (1989),1989,between,music,high information load,NA,reading comprehension,num_correct,12,0.4,11.6,0.7,SD,Perceptual and Motor Skills,0.618,-0.701646415,0.117948718,-0.686054273,0.112764799,-1.344231492,-0.027877054,"Kiger, D. M. (1989). Effects of music information load on a reading comprehension task. Perceptual and Motor Skills, 69(2), 531-534. doi:10.2466/pms.1989.69.2.531"
14,9,49,49,adults,Miller & Schyb (1989),1989,between,music,classical,47.5,reading comprehension,num_correct,8.3,0.55,8.8,0.7,SE,Journal of Music Therapy,0.786,0.113471639,0.040882019,0.112582827,0.040244078,-0.280611338,0.505776992,"Miller, L. K., & Schyb, M. (1989). Facilitation and interference by background music. Journal of Music Therapy, 26(1), 42-54. doi:10.1093/jmt/26.1.42"
15,9,49,49,adults,Miller & Schyb (1989),1989,between,music,pop,47.5,reading comprehension,num_correct,8.3,0.55,9.2,0.55,SE,Journal of Music Therapy,0.786,0.233766234,0.041095136,0.231935167,0.040453869,-0.16228252,0.626152853,"Miller, L. K., & Schyb, M. (1989). Facilitation and interference by background music. Journal of Music Therapy, 26(1), 42-54. doi:10.1093/jmt/26.1.42"
16,9,49,49,adults,Miller & Schyb (1989),1989,between,music,vocal,47.5,reading comprehension,num_correct,8.3,0.55,6.6,0.5,SE,Journal of Music Therapy,0.786,-0.462061451,0.041905616,-0.458442171,0.041251702,-0.856528268,-0.060356075,"Miller, L. K., & Schyb, M. (1989). Facilitation and interference by background music. Journal of Music Therapy, 26(1), 42-54. doi:10.1093/jmt/26.1.42"
17,10,56,56,adults,Doyle & Furnham (2012),2012,within,music,vocal,NA,reading comprehension,num_correct,4.825,2.74,5.235,2.845,SD,Thinking Skills and Creativity,1.022,0.146645976,0.009267754,0.10364268,0.009015582,-0.041465695,0.330739949,"Doyle, M., & Furnham, A. (2012). The distracting effects of music on the cognitive test performance of creative and non-creative individuals. Thinking Skills and Creativity, 7(1), 1-7. doi:10.1016/j.tsc.2011.09.002"
18,11,334,334,children,Anderson & Fuller (2010),2010,within,music,lyrical,75,reading comprehension,num_correct,30.56,10.21,26.49,10.7,SD,School Psychology Quarterly,2.75,-0.388563674,0.0016534,-0.277805644,0.001645955,-0.467205804,-0.308169943,"Anderson, S. A., & Fuller, G. B. (2010). Effect of music on reading comprehension of junior high school students. School Psychology Quarterly, 25(3), 178-187. doi:10.1037/a0021213"
19,12,76,76,children,Furnham & Strbac (2002),2002,within,noise,office,NA,reading comprehension,num_correct,23.93,3.12,18.83,4.88,SD,Ergonomics,1.449,-1.106130814,0.010889431,-0.784667856,0.010672011,-1.297511142,-0.89255388,"Furnham, A., & Strbac, L. (2002). Music is as distracting as noise: The differential distraction of background music and noise on the cognitive test performance of introverts and extraverts. Ergonomics, 45(3), 203-217. doi:10.1080/00140130210121932"
20,12,76,76,children,Furnham & Strbac (2002),2002,within,music,vocal/unfamiliar,NA,reading comprehension,num_correct,23.93,3.12,20.18,3.255,SD,Ergonomics,1.449,-1.174683512,0.011417619,-0.833297817,0.011189653,-1.370228454,-0.955566326,"Furnham, A., & Strbac, L. (2002). Music is as distracting as noise: The differential distraction of background music and noise on the cognitive test performance of introverts and extraverts. Ergonomics, 45(3), 203-217. doi:10.1080/00140130210121932"
21,13,45,45,children,Mullikin & Henk (1985),1985,within,music,classical,NA,reading comprehension,num_correct,8.428,1.4044,9.176,0.863,SD,Journal of Reading,0.171,0.560202508,0.013200976,0.394542957,0.012752251,0.329264343,0.771933729,"Mullikin, C. N., & Henk, W. A. (1985). Using music as a background for reading: An exploratory study. Journal of Reading, 353-358."
22,13,45,45,children,Mullikin & Henk (1985),1985,within,music,rock,NA,reading comprehension,num_correct,8.428,1.4044,7.628,1.83,SD,Journal of Reading,0.171,-0.467938923,0.012659775,-0.329562978,0.012229446,-0.676667294,-0.243166932,"Mullikin, C. N., & Henk, W. A. (1985). Using music as a background for reading: An exploratory study. Journal of Reading, 353-358."
23,14,19,20,children,Avila et al. (2011),2011,between,music,vocal/ familiar,NA,reading comprehension,num_correct,13.42,0.5,9.15,0.66,SE,Psychology of Music,2.01,-1.639334784,0.137085663,-1.605878972,0.131547425,-2.316760529,-0.894997416,"Avila, C., Furnham, A., & McClelland, A. (2011). The influence of distracting familiar vocal music on cognitive performance of introverts and extraverts. Psychology of Music, 40(1), 84-93. doi:10.1177/0305735611422672"
24,14,19,19,children,Avila et al. (2011),2011,between,music,instrumental/ familiar,NA,reading comprehension,num_correct,13.42,0.5,6.74,0.98,SE,Psychology of Music,2.01,-1.969927316,0.156323864,-1.928600169,0.149833621,-2.687283793,-1.169916546,"Avila, C., Furnham, A., & McClelland, A. (2011). The influence of distracting familiar vocal music on cognitive performance of introverts and extraverts. Psychology of Music, 40(1), 84-93. doi:10.1177/0305735611422672"
25,15,43,46,adults,Freeburne & Fleischer (1952),1952,between,music,classical,NA,reading comprehension,num_correct,13.4,5.81,13.57,8.95,SD,Journal of Educational Psychology,3.256,0.022374547,0.044997757,0.022181107,0.044223061,-0.389992778,0.434354992,"Freeburne, C. M., & Fleischer, M. S. (1952). The effect of music distraction upon reading rate and comprehension. Journal of Educational Psychology, 43(2), 101-109. doi:10.1037/h0054219"
26,15,43,46,adults,Freeburne & Fleischer (1952),1952,between,music,classical,NA,reading comprehension,reading_speed,648.23,112.11,696.54,159.65,SD,Journal of Educational Psychology,3.256,-0.34818403,0.045676024,-0.345173793,0.044889651,-0.76044248,0.070094893,"Freeburne, C. M., & Fleischer, M. S. (1952). The effect of music distraction upon reading rate and comprehension. Journal of Educational Psychology, 43(2), 101-109. doi:10.1037/h0054219"
27,15,43,42,adults,Freeburne & Fleischer (1952),1952,between,music,pop,NA,reading comprehension,num_correct,13.4,5.81,13.62,6.4,SD,Journal of Educational Psychology,3.256,0.036014963,0.047072968,0.035688544,0.046223548,-0.385704838,0.457081926,"Freeburne, C. M., & Fleischer, M. S. (1952). The effect of music distraction upon reading rate and comprehension. Journal of Educational Psychology, 43(2), 101-109. doi:10.1037/h0054219"
