"","ID","N_C","N_E","sample","cit","year","design","sound","sound_type","db","task","measure","mean_C","var_C","mean_E","var_E","var_type","journal","IF","d","d_var","g","g_var","CI95_L","CI95_R","reference"
"3",2,70,50,"children","Ljung et al. (2009)",2009,"between","noise","traffic",62,"select word","prop_correct",0.69,0.19,0.66,0.18,"SD","Noise and Health",1.826,-0.161365996792777,0.0343942100562181,-0.160338187896008,0.0339574626122003,-0.521518182318496,0.20084180652648,"Ljung, R., Sörqvist, P., & Hygge, S. (2009). Effects of road traffic noise and irrelevant speech on children's reading and mathematical performance. Noise and Health, 11(45), 194-198."
"19",12,76,76,"children","Furnham & Strbac (2002)",2002,"within","noise","office",NA,"reading comprehension","num_correct",23.93,3.12,18.83,4.88,"SD","Ergonomics",1.449,-1.10613081365411,0.0108894313870634,-0.784667856013168,0.0106720106084825,-0.987146486869727,-0.58218922515661,"Furnham, A., & Strbac, L. (2002). Music is as distracting as noise: The differential distraction of background music and noise on the cognitive test performance of introverts and extraverts. Ergonomics, 45(3), 203-217. doi:10.1080/00140130210121932"
"26",26,22,44,"children","Johansson (1983)",1983,"between","noise",NA,59.2,"select word","prop_correct",96.55,4.38,97.54,3.495,"SD","Ergonomics",1.449,0.24917745737598,0.0916318264773274,0.244701215626711,0.0883692353592526,-0.337947267213591,0.827349698467012,"Johansson, C. R. (1983). Effects of low intensity, continuous and intermittent noise on mental performance and writing pressure of children with different intelligence and personality characteristics. Ergonomics, 26(3), 275-288. doi:10.1080/00140138308963341"
"58",27,28,28,"adults","Halin (2016)",2016,"within","noise",NA,60,"reading comprehension (easy font)","prop_correct",0.512266197933391,0.0294277382938876,0.479128623850827,0.029564349047901,"SE","Frontiers in Psychology",2.463,-0.212763455809321,0.0191470233515455,-0.148185409957318,0.0180884098672649,-0.411792001957755,0.11542118204312,"Halin, N. (2016). Distracted While Reading? Changing to a Hard-to-Read Font Shields against the Effects of Environmental Noise and Speech on Text Memory. Frontiers in Psychology, 7."
"69",30,24,24,"adults","Johansson et al. (2012)",2012,"within","noise","cafe",65,"reading comprehension","prop_correct",62.5,24.5,50,29.5,"SD","Psychology of Music",2.01,-0.450048674791328,0.023561395825695,-0.311859957720069,0.0220335043200317,-0.60279622255454,-0.0209236928855974,"Johansson, R., Holmqvist, K., Mossberg, F., & Lindgren, M. (2012). Eye movements and reading comprehension while listening to preferred and non-preferred study music. Psychology of music, 40(3), 339-356."
"81",33,36,36,"adults","Martin et al. (1988), Exp.1",1988,"within","noise","white",82,"reading comprehension","perc_correct",72.1,NA,70.4,NA,NA,"Journal of Memory and Language",5.218,-0.0557976084098073,0.0142853449301057,-0.0391199725523364,0.0136753656553613,-0.268325741898651,0.190085796793978,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
"84",35,48,48,"adults","Martin et al. (1988), Exp.4",1988,"within","noise","white",82,"reading comprehension","perc_correct",69.4,NA,67.3,NA,NA,"Journal of Memory and Language",5.218,-0.14893635538416,0.0108160008483015,-0.105011240087311,0.0104717471108724,-0.305581087524874,0.0955586073502516,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
"87",36,48,48,"adults","Martin et al. (1988), Exp.5",1988,"within","noise","white",82,"reading comprehension","perc_correct",67.5,NA,60.2,NA,NA,"Journal of Memory and Language",5.218,-0.30097555150549,0.0111818731358915,-0.212210214343108,0.0108259743455273,-0.416144181709453,-0.00827624697676274,"Martin, R. C., Wogalter, M. S., & Forlano, J. G. (1988). Reading comprehension in the presence of unattended speech and music. Journal of memory and language, 27(4), 382-398."
"42",42,52,104,"children","Dockrell & Shield (2006)",2006,"between","noise",NA,65,"reading comprehension","reading_score",33.45,11.62,33.535,10.59,"SD","British Educational Research Journal",1.124,0.0450846607856602,0.0398542356685785,0.0447523414186897,0.039268869289176,-0.343648596094724,0.433153278932103,"Dockrell, J. E., & Shield, B. M. (2006). Acoustical barriers in classrooms: The impact of noise on performance in the classroom. British Educational Research Journal, 32(3), 509-525."
"119",49,23,23,"children","Sörqvist (2010), Exp.1a",2010,"within","noise","aircraft",57.5,"reading comprehension","prop_correct",0.28,0.22,0.24,0.2,"SD","Journal of Environmental Psychology",2.647,-0.189026526483698,0.022723763548295,-0.130780091223871,0.0211836273743916,-0.41605017889775,0.154489996450009,"Sörqvist, P. (2010). Effects of aircraft noise and speech on prose memory: What role for working memory capacity?. Journal of Environmental Psychology, 30(1), 112-118."
"132",58,40,40,"adults","Vasilev et al. (n.d.)",2016,"within","noise","speech-spectrum",60,"reading comprehension","perc_correct",0.9363636,0.2443819,0.9272727,0.2599839,"SD","NA",NA,-0.0359322904129167,0.0128451145236347,-0.0252496661046952,0.0123526961895549,-0.243089326593308,0.192589994383918,"Vasilev et al. (n.d.). Unpublished study."
"143",62,31,32,"adults","Kou et al. (2017)",2017,"between","noise","office",65,"reading comprehension","num_correct",6.5,2.52,6.17,2.42,"SD","Psychology of Music",1.394,-0.133620204800535,0.063649765779073,-0.131970572642503,0.0620878678533862,-0.620352342516818,0.356411197231812,"Kou, S., McClelland, A., & Furnham, A. (2017). The effect of background music and noise on the cognitive test performance of Chinese introverts and extraverts. Psychology of Music, 0305735617704300."
