SS Age Grp Gdr ACT AMMA Spat_cond Spat_test Read_cond Read_comp Read_rate D2_cond D2CP Fam Frq
1 18 A 0 28 92 1 32 2 184 202 0 257 0 90
2 18 A 0 23 26 1 26 2 169 206 0 227 1 70
3 19 A 1 22 62 1 31 2 187 222 0 209 0 70
4 19 A 1 22 62 1 29 2 184 206 0 232 0 20
5 18 A 0 17 41 1 24 2 167 181 0 224 1 40
6 19 A 0 13 38 1 20 2 167 164 0 154 1 60
7 18 A 1 15 74 1 29 2 161 202 0 223 0 30
8 19 A 0 15 50 1 27 2 153 222 0 209 1 90
9 18 A 1 26 29 1 29 2 172 240 0 276 0 50
10 18 A 0 17 18 1 19 2 169 192 0 200 0 70
11 18 A 0 21 38 1 26 2 181 197 0 240 1 80
12 37 A 1 19 20 1 27 2 161 177 0 186 1 0
13 18 A 0 21 70 1 32 2 164 206 0 257 1 60
14 20 A 1 17 38 1 21 2 184 188 0 199 0 70
15 18 A 1 23 59 1 32 2 167 197 0 236 0 30
16 18 A 0 25 12 1 29 2 178 197 0 232 1 10
17 21 A 0 22 72 1 26 2 184 206 0 174 1 0
18 18 A 0 18 50 1 30 2 172 222 0 237 1 70
19 18 A 1 21 32 1 24 2 169 216 0 132 0 90
20 18 A 1 20 68 1 26 2 153 202 0 285 0 30
21 21 A 0 18 56 1 26 2 161 197 0 265 1 20
22 19 A 0 27 41 1 29 2 181 211 0 258 1 90
23 21 A 0 21 76 1 20 2 178 226 0 142 1 10
24 18 A 0 24 32 1 28 2 190 226 0 273 0 60
25 18 A 0 19 62 1 27 2 175 235 0 146 1 60
26 19 A 0 17 59 1 22 2 178 222 0 194 1 70
27 18 A 0 33 68 1 32 2 193 291 0 266 1 90
28 19 A 1 27 80 1 32 2 169 188 0 258 1 40
29 18 B 0 23 74 0 31 1 175 181 2 169 1 40
30 21 B 0 14 32 0 24 1 164 229 2 164 1 0
31 20 B 0 15 65 0 25 1 142 170 2 167 1 0
32 18 B 0 18 6 0 27 1 164 192 2 230 0 80
33 20 B 0 21 38 0 23 1 184 226 2 213 1 40
34 18 B 0 16 82 0 27 1 161 216 2 181 1 70
35 19 B 0 15 59 0 25 1 158 192 2 200 0 30
36 19 B 1 13 72 0 26 1 147 188 2 148 1 90
37 18 B 1 0 38 0 28 1 175 243 2 241 1 90
38 18 B 0 21 50 0 30 1 156 197 2 178 0 10
39 18 B 1 21 56 0 28 1 169 184 2 167 1 50
40 19 B 1 19 44 0 25 1 164 192 2 147 0 60
41 18 B 0 22 20 0 26 1 167 173 2 205 1 80
42 18 B 0 18 38 0 25 1 147 192 2 209 1 80
43 18 B 0 13 47 0 23 1 164 177 2 192 1 10
44 20 B 0 19 56 0 31 1 164 211 2 203 1 30
45 18 B 1 18 87 0 22 1 147 192 2 177 1 50
46 18 B 0 27 41 0 28 1 178 240 2 186 1 40
47 18 B 0 21 68 0 26 1 132 202 2 195 1 30
48 19 B 1 21 20 0 28 1 203 229 2 254 0 0
49 19 B 0 0 23 0 22 1 161 177 2 157 1 30
50 18 B 0 23 88 0 31 1 169 192 2 195 0 40
51 18 B 0 18 70 0 20 1 172 226 2 172 0 50
52 18 B 0 18 50 0 23 1 164 184 2 155 0 40
53 23 B 1 22 38 0 27 1 161 181 2 196 1 10
54 19 B 1 21 29 0 23 1 169 181 2 201 0 10
55 18 B 0 25 16 0 25 1 184 211 2 211 1 10
56 18 B 1 18 32 0 25 1 169 177 2 137 1 10
57 18 C 1 13 50 2 13 0 156 226 1 166 1 50
58 18 C 0 0 38 2 21 0 158 202 1 160 1 20
59 18 C 0 22 76 2 26 0 150 192 1 167 1 0
60 19 C 0 18 20 2 26 0 161 197 1 162 1 0
61 18 C 0 19 70 2 14 0 178 188 1 168 1 50
62 18 C 0 26 32 2 33 0 145 177 1 167 1 100
63 19 C 0 14 6 2 22 0 150 181 1 173 1 0
64 19 C 1 25 72 2 28 0 178 206 1 254 1 10
65 18 C 1 17 41 2 26 0 167 246 1 172 1 80
66 26 C 1 0 68 2 28 0 169 197 1 186 1 100
67 19 C 1 19 50 2 30 0 167 173 1 169 1 80
68 19 C 1 13 65 2 26 0 147 177 1 160 0 90
69 19 C 1 14 20 2 15 0 140 173 1 173 0 80
70 18 C 0 25 62 2 27 0 203 222 1 251 0 0
71 19 C 0 19 26 2 21 0 156 206 1 102 1 50
72 22 C 0 19 16 2 28 0 147 188 1 175 1 50
73 19 C 1 21 32 2 15 0 161 202 1 164 1 100
74 19 C 0 23 47 2 28 0 169 216 1 254 1 30
75 25 C 0 17 65 2 19 0 172 216 1 94 1 90
76 18 C 0 22 56 2 22 0 172 197 1 137 1 30
77 18 C 0 25 38 2 31 0 161 202 1 199 0 70
78 18 C 0 20 16 2 24 0 175 166 1 201 1 100
79 18 C 0 21 59 2 23 0 161 197 1 187 1 40
80 22 C 1 24 87 2 24 0 167 181 1 186 1 20
81 18 C 0 21 74 2 25 0 156 202 1 180 1 40
82 19 C 0 0 68 2 24 0 156 243 1 195 1 80
83 19 C 1 21 29 2 31 0 187 173 1 200 1 10
84 19 C 1 16 38 2 30 0 161 164 1 167 1 80
