subject	silence_SVO_first-pass	silence_SVO_progr	silence_SVO_regr	silence_SVO_lookback	silence_OVS_first-pass	silence_OVS_progr	silence_OVS_regrs	silence_OVS_lookback	coherent_SVO_first-pass	coherent_SVO_progr	coherent_SVO_regr	coherent_SVO_lookback	coherent_OVS_first-pass	coherent_OVS_progr	coherent_OVS_regr	coherent_OVS_lookback	scrambled_SVO_first-pass	scrambled_SVO_progr	scrambled_SVO_regr	scrambled_SVO_lookback	scrambled_OVS_first-pass	scrambled_OVS_progr	scrambled_OVS_regr	scrambled_OVS_lookback
1	"3,565"	"2,704"	861	617	"5,102"	"2,854"	"2,248"	987	"3,402"	"2,666"	737	"1,028"	"4,124"	"2,501"	"1,623"	737	"3,488"	"2,451"	"1,037"	616	"5,178"	"3,245"	"1,933"	874
2	"3,367"	"2,582"	785	458	"2,807"	"2,335"	472	187	"3,751"	"2,959"	792	124	"3,469"	"2,719"	749	110	"3,665"	"2,759"	906	65	"3,443"	"2,402"	"1,041"	36
3	"2,126"	"1,678"	448	200	"2,455"	"1,733"	722	0	"2,615"	"1,763"	853	187	"1,949"	"1,563"	386	633	"1,964"	"1,554"	410	142	"2,586"	"1,815"	770	58
4	"4,369"	"3,378"	990	30	"4,281"	"3,620"	661	70	"4,738"	"3,787"	951	104	"4,864"	"3,753"	"1,111"	91	"3,970"	"3,589"	381	328	"4,642"	"3,739"	903	100
5	"5,770"	"4,393"	"1,377"	378	"6,356"	"4,601"	"1,755"	237	"5,969"	"4,501"	"1,468"	221	"5,002"	"3,915"	"1,087"	287	"5,999"	"4,357"	"1,642"	398	"6,920"	"4,293"	"2,627"	409
6	"2,119"	"2,053"	66	298	"2,162"	"2,162"	0	168	"2,101"	"1,871"	230	125	"1,844"	"1,770"	74	254	"1,926"	"1,890"	36	748	"1,735"	"1,735"	0	240
7	"3,332"	"3,033"	299	0	"4,046"	"3,405"	641	17	"3,206"	"2,958"	249	451	"3,806"	"3,490"	316	221	"3,924"	"3,413"	510	0	"4,090"	"3,701"	389	458
8	"5,836"	"4,812"	"1,023"	78	"5,519"	"4,678"	842	504	"7,481"	"5,604"	"1,876"	51	"7,339"	"5,524"	"1,815"	46	"6,938"	"5,566"	"1,373"	18	"7,443"	"5,727"	"1,715"	794
9	"2,049"	"1,707"	343	284	"2,537"	"1,978"	559	16	"1,837"	"1,537"	301	245	"2,435"	"1,730"	705	285	"2,117"	"1,801"	316	197	"3,401"	"1,991"	"1,410"	181
10	"4,408"	"3,446"	961	596	"4,253"	"3,299"	955	134	"3,924"	"2,988"	936	508	"4,104"	"3,457"	647	325	"3,460"	"2,707"	752	473	"4,076"	"2,853"	"1,223"	205
11	"2,622"	"2,410"	212	71	"2,581"	"2,466"	115	42	"3,205"	"2,420"	785	205	"3,106"	"2,723"	383	169	"3,321"	"2,816"	506	496	"3,294"	"2,660"	634	194
12	"4,226"	"3,784"	442	0	"4,454"	"4,122"	332	15	"4,658"	"4,111"	547	43	"4,036"	"3,667"	369	519	"4,790"	"3,713"	"1,076"	0	"5,407"	"4,396"	"1,011"	193
13	"3,594"	"2,861"	732	482	"3,923"	"2,840"	"1,083"	267	"4,138"	"3,048"	"1,090"	373	"4,053"	"2,925"	"1,128"	241	"4,595"	"2,837"	"1,758"	243	"6,223"	"3,125"	"3,099"	412
14	"4,009"	"3,681"	328	60	"4,430"	"4,102"	328	74	"4,266"	"4,061"	206	238	"4,120"	"3,841"	279	60	"4,949"	"4,535"	415	181	"5,199"	"4,245"	954	289
15	"3,834"	"2,064"	"1,770"	262	"4,603"	"2,525"	"2,078"	736	"4,549"	"2,545"	"2,004"	"2,266"	"4,711"	"2,500"	"2,211"	"1,457"	"3,150"	"2,207"	943	440	"3,312"	"2,355"	957	"2,805"
16	"4,459"	"4,168"	291	22	"5,032"	"4,676"	356	51	"4,791"	"4,483"	308	0	"4,736"	"4,228"	508	62	"4,779"	"4,330"	448	0	"4,366"	"4,028"	338	22
17	"2,487"	"2,136"	351	146	"2,907"	"2,122"	785	124	"2,240"	"1,897"	343	34	"2,159"	"1,813"	346	110	"2,480"	"1,938"	542	160	"2,757"	"2,005"	752	192
18	"5,196"	"4,247"	948	870	"5,550"	"3,886"	"1,664"	816	"5,981"	"4,219"	"1,762"	348	"5,873"	"3,987"	"1,886"	660	"5,381"	"3,987"	"1,393"	558	"5,413"	"3,896"	"1,518"	"1,138"
19	"4,690"	"3,377"	"1,312"	"1,000"	"3,748"	"2,885"	863	"1,262"	"4,229"	"3,101"	"1,128"	"1,673"	"6,336"	"3,727"	"2,609"	905	"4,150"	"2,574"	"1,576"	184	"4,735"	"3,178"	"1,557"	149
20	"4,272"	"3,401"	871	296	"3,376"	"2,936"	440	31	"4,034"	"3,330"	704	66	"3,943"	"3,194"	749	163	"4,268"	"3,384"	884	416	"3,968"	"3,442"	526	304
22	"3,424"	"2,989"	435	62	"3,252"	"3,057"	195	48	"3,561"	"3,271"	289	0	"3,604"	"3,277"	326	45	"3,451"	"3,206"	244	32	"3,431"	"3,121"	310	115
23	"5,757"	"3,459"	"2,298"	963	"7,967"	"3,633"	"4,334"	"1,871"	"6,209"	"3,161"	"3,048"	"2,437"	"6,490"	"3,522"	"2,968"	"2,782"	"8,835"	"4,034"	"4,801"	"2,336"	"10,537"	"3,745"	"6,793"	"3,993"
25	"3,828"	"3,052"	777	0	"3,785"	"3,075"	710	0	"3,265"	"2,372"	893	321	"4,435"	"2,991"	"1,444"	57	"4,538"	"3,150"	"1,388"	35	"4,393"	"3,152"	"1,241"	41
26	"5,319"	"4,201"	"1,118"	57	"6,197"	"4,920"	"1,277"	32	"5,503"	"4,247"	"1,256"	25	"4,531"	"3,801"	730	0	"5,877"	"4,464"	"1,412"	374	"5,465"	"4,550"	915	323
27	"3,719"	"3,139"	581	73	"4,264"	"3,371"	893	49	"4,751"	"3,646"	"1,105"	106	"4,852"	"3,427"	"1,425"	53	"4,968"	"4,025"	943	0	"4,326"	"3,518"	808	47
28	"4,296"	"3,316"	980	"1,688"	"4,975"	"3,828"	"1,146"	"2,721"	"5,635"	"3,957"	"1,678"	"2,338"	"4,965"	"3,452"	"1,512"	"1,567"	"5,766"	"3,456"	"2,311"	"2,232"	"6,219"	"3,873"	"2,346"	"2,641"
29	"3,503"	"2,928"	575	286	"5,082"	"3,348"	"1,734"	984	"4,162"	"3,099"	"1,063"	540	"4,249"	"3,155"	"1,094"	553	"4,405"	"3,116"	"1,289"	688	"7,430"	"3,436"	"3,994"	"2,335"
30	"4,622"	"3,361"	"1,261"	604	"4,197"	"2,969"	"1,228"	187	"3,796"	"3,050"	746	279	"4,524"	"3,216"	"1,308"	347	"4,980"	"3,102"	"1,878"	247	"4,637"	"3,258"	"1,379"	770
32	"3,103"	"2,457"	646	"2,369"	"3,468"	"2,401"	"1,067"	"1,437"	"4,204"	"2,823"	"1,381"	"2,068"	"3,271"	"2,546"	725	"1,580"	"2,935"	"2,276"	659	"1,708"	"3,440"	"2,662"	779	"2,164"
33	"3,449"	"2,637"	812	320	"3,070"	"2,607"	463	417	"3,921"	"2,465"	"1,456"	568	"4,264"	"3,042"	"1,222"	469	"3,354"	"2,750"	604	63	"3,214"	"2,787"	427	448
34	"6,098"	"4,047"	"2,052"	"1,136"	"5,312"	"4,243"	"1,069"	61	"6,803"	"4,858"	"1,945"	301	"5,887"	"4,442"	"1,446"	"1,264"	"6,061"	"4,821"	"1,240"	0	"5,870"	"5,014"	857	0
35	"4,611"	"4,029"	582	0	"4,757"	"4,151"	605	226	"5,290"	"4,517"	773	31	"4,923"	"4,082"	841	15	"4,441"	"4,046"	396	156	"5,240"	"3,989"	"1,251"	278
36	"3,193"	"2,826"	367	0	"3,093"	"2,763"	331	0	"3,510"	"3,201"	309	0	"3,621"	"3,105"	516	163	"3,770"	"3,050"	720	12	"3,673"	"3,166"	508	0
37	"3,593"	"2,538"	"1,055"	228	"2,833"	"2,115"	718	215	"4,220"	"2,186"	"2,033"	"2,264"	"4,592"	"2,650"	"1,942"	"1,886"	"4,170"	"2,593"	"1,576"	"1,487"	"4,244"	"2,505"	"1,739"	"1,211"
38	"2,187"	"1,877"	310	225	"3,260"	"2,081"	"1,179"	182	"2,537"	"1,985"	552	0	"3,276"	"2,307"	969	203	"3,200"	"2,513"	687	297	"3,591"	"2,353"	"1,238"	818
